,GDPC1,UNRATE
146,7612.668,7.433333333
147,7686.059,7.433333333
148,7749.151,7.3
149,7824.247,7.233333333
150,7893.136,7.3
151,8013.674,7.2
152,8073.239,7.033333333
153,8148.603,7.033333333
154,8185.303,7.166666667
155,8263.639,6.966666667
156,8308.021,6.833333333
157,8369.93,6.6
158,8460.233,6.266666667
159,8533.635,6
160,8680.162,5.833333333
161,8725.006,5.7
162,8839.641,5.466666667
163,8891.435,5.466666667
164,9009.913,5.333333333
165,9101.508,5.2
166,9170.977,5.233333333
167,9238.923,5.233333333
168,9257.128,5.366666667
169,9358.289,5.3
170,9392.251,5.333333333
171,9398.499,5.7
172,9312.937,6.133333333
173,9269.367,6.6
174,9341.642,6.833333333
175,9388.845,6.866666667
176,9421.565,7.1
177,9534.346,7.366666667
178,9637.732,7.6
179,9732.979,7.633333333
180,9834.51,7.366666667
181,9850.973,7.133333333
182,9908.347,7.066666667
183,9955.641,6.8
184,10091.049,6.633333333
185,10188.954,6.566666667
186,10327.019,6.2
187,10387.382,6
188,10506.372,5.633333333
189,10543.644,5.466666667
190,10575.1,5.666666667
191,10665.06,5.666666667
192,10737.478,5.566666667
193,10817.896,5.533333333
194,10998.322,5.5
195,11096.976,5.266666667
196,11212.205,5.333333333
197,11284.587,5.233333333
198,11472.137,5
199,11615.636,4.866666667
200,11715.393,4.666666667
201,11832.486,4.633333333
202,11942.032,4.4
203,12091.614,4.533333333
204,12287,4.433333333
205,12403.293,4.3
206,12498.694,4.266666667
207,12662.385,4.233333333
208,12877.593,4.066666667
209,12924.179,4.033333333
210,13160.842,3.933333333
211,13178.419,4
212,13260.506,3.9
213,13222.69,4.233333333
214,13299.984,4.4
215,13244.784,4.833333333
216,13280.859,5.5
217,13397.002,5.7
218,13478.152,5.833333333
219,13538.072,5.733333333
220,13559.032,5.866666667
221,13634.253,5.866666667
222,13751.543,6.133333333
223,13985.073,6.133333333
224,14145.645,5.833333333
225,14221.147,5.7
226,14329.523,5.6
227,14464.984,5.433333333
228,14609.876,5.433333333
229,14771.602,5.3
230,14839.782,5.1
231,14972.054,4.966666667
